KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.040	0.020	0.040	0.068
harris3D	0.040	0.020	0.060	0.401
harris3D	0.040	0.020	0.080	0.060
harris3D	0.040	0.020	0.100	0.060
harris3D	0.040	0.040	0.020	0.414
harris3D	0.040	0.040	0.040	0.414
harris3D	0.040	0.040	0.060	0.414
harris3D	0.040	0.040	0.080	0.414
harris3D	0.040	0.040	0.100	0.414
harris3D	0.040	0.060	0.020	0.468
harris3D	0.040	0.060	0.040	0.468
harris3D	0.040	0.060	0.060	0.468
harris3D	0.040	0.060	0.080	0.468
harris3D	0.040	0.060	0.100	0.468
harris3D	0.040	0.080	0.020	0.068
harris3D	0.040	0.080	0.040	0.068
harris3D	0.040	0.080	0.060	0.068
harris3D	0.040	0.080	0.080	0.068
harris3D	0.040	0.080	0.100	0.068
harris3D	0.040	0.100	0.020	0.060
harris3D	0.040	0.100	0.040	0.068
harris3D	0.040	0.100	0.060	0.414
harris3D	0.040	0.100	0.080	0.414
harris3D	0.040	0.100	0.100	0.414
harris3D	0.060	0.020	0.020	0.068
harris3D	0.060	0.020	0.040	0.068
harris3D	0.060	0.020	0.060	0.401
harris3D	0.060	0.020	0.080	0.060
harris3D	0.060	0.020	0.100	0.060
harris3D	0.060	0.040	0.020	0.414
harris3D	0.060	0.040	0.040	0.414
harris3D	0.060	0.040	0.060	0.414
harris3D	0.060	0.040	0.080	0.414
harris3D	0.060	0.040	0.100	0.414
harris3D	0.060	0.060	0.020	0.468
harris3D	0.060	0.060	0.040	0.468
harris3D	0.060	0.060	0.060	0.468
harris3D	0.060	0.060	0.080	0.468
harris3D	0.060	0.060	0.100	0.468
harris3D	0.060	0.080	0.020	0.068
harris3D	0.060	0.080	0.040	0.068
harris3D	0.060	0.080	0.060	0.068
harris3D	0.060	0.080	0.080	0.068
harris3D	0.060	0.080	0.100	0.068
harris3D	0.060	0.100	0.020	0.060
harris3D	0.060	0.100	0.040	0.068
harris3D	0.060	0.100	0.060	0.414
harris3D	0.060	0.100	0.080	0.414
harris3D	0.060	0.100	0.100	0.414
harris3D	0.080	0.020	0.020	0.068
harris3D	0.080	0.020	0.040	0.068
harris3D	0.080	0.020	0.060	0.401
harris3D	0.080	0.020	0.080	0.060
harris3D	0.080	0.020	0.100	0.060
harris3D	0.080	0.040	0.020	0.414
harris3D	0.080	0.040	0.040	0.414
harris3D	0.080	0.040	0.060	0.414
harris3D	0.080	0.040	0.080	0.414
harris3D	0.080	0.040	0.100	0.414
harris3D	0.080	0.060	0.020	0.468
harris3D	0.080	0.060	0.040	0.468
harris3D	0.080	0.060	0.060	0.468
harris3D	0.080	0.060	0.080	0.468
harris3D	0.080	0.060	0.100	0.468
harris3D	0.080	0.080	0.020	0.068
harris3D	0.080	0.080	0.040	0.068
harris3D	0.080	0.080	0.060	0.068
harris3D	0.080	0.080	0.080	0.068
harris3D	0.080	0.080	0.100	0.068
harris3D	0.080	0.100	0.020	0.060
harris3D	0.080	0.100	0.040	0.068
harris3D	0.080	0.100	0.060	0.414
harris3D	0.080	0.100	0.080	0.414
harris3D	0.080	0.100	0.100	0.414
harris3D	0.100	0.020	0.020	0.068
harris3D	0.100	0.020	0.040	0.068
harris3D	0.100	0.020	0.060	0.401
harris3D	0.100	0.020	0.080	0.060
harris3D	0.100	0.020	0.100	0.060
harris3D	0.100	0.040	0.020	0.414
harris3D	0.100	0.040	0.040	0.414
harris3D	0.100	0.040	0.060	0.414
harris3D	0.100	0.040	0.080	0.414
harris3D	0.100	0.040	0.100	0.414
harris3D	0.100	0.060	0.020	0.468
harris3D	0.100	0.060	0.040	0.468
harris3D	0.100	0.060	0.060	0.468
harris3D	0.100	0.060	0.080	0.468
harris3D	0.100	0.060	0.100	0.468
harris3D	0.100	0.080	0.020	0.068
harris3D	0.100	0.080	0.040	0.068
harris3D	0.100	0.080	0.060	0.068
harris3D	0.100	0.080	0.080	0.068
harris3D	0.100	0.080	0.100	0.068
harris3D	0.100	0.100	0.020	0.060
harris3D	0.100	0.100	0.040	0.068
harris3D	0.100	0.100	0.060	0.414
harris3D	0.100	0.100	0.080	0.414
harris3D	0.100	0.100	0.100	0.414
harris6D	0.020	0.020	0.020	0.131
harris6D	0.020	0.020	0.040	0.131
harris6D	0.020	0.020	0.060	0.131
