KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
harris3D	0.020	0.080	0.100	0.236
harris3D	0.020	0.100	0.020	0.109
harris3D	0.020	0.100	0.040	0.205
harris3D	0.020	0.100	0.060	0.023
harris3D	0.020	0.100	0.080	0.109
harris3D	0.020	0.100	0.100	0.214
harris3D	0.040	0.020	0.020	0.074
harris3D	0.040	0.020	0.040	0.074
harris3D	0.040	0.020	0.060	0.074
harris3D	0.040	0.020	0.080	0.074
harris3D	0.040	0.020	0.100	0.074
harris3D	0.040	0.040	0.020	0.020
harris3D	0.040	0.040	0.040	0.020
harris3D	0.040	0.040	0.060	0.066
harris3D	0.040	0.040	0.080	0.020
harris3D	0.040	0.040	0.100	0.020
harris3D	0.040	0.060	0.020	0.087
harris3D	0.040	0.060	0.040	0.024
harris3D	0.040	0.060	0.060	0.024
harris3D	0.040	0.060	0.080	0.024
harris3D	0.040	0.060	0.100	0.024
harris3D	0.040	0.080	0.020	0.083
harris3D	0.040	0.080	0.040	0.146
harris3D	0.040	0.080	0.060	0.236
harris3D	0.040	0.080	0.080	0.399
harris3D	0.040	0.080	0.100	0.236
harris3D	0.040	0.100	0.020	0.109
harris3D	0.040	0.100	0.040	0.205
harris3D	0.040	0.100	0.060	0.023
harris3D	0.040	0.100	0.080	0.109
harris3D	0.040	0.100	0.100	0.214
harris3D	0.060	0.020	0.020	0.074
harris3D	0.060	0.020	0.040	0.074
harris3D	0.060	0.020	0.060	0.074
harris3D	0.060	0.020	0.080	0.074
harris3D	0.060	0.020	0.100	0.074
harris3D	0.060	0.040	0.020	0.020
harris3D	0.060	0.040	0.040	0.020
harris3D	0.060	0.040	0.060	0.066
harris3D	0.060	0.040	0.080	0.020
harris3D	0.060	0.040	0.100	0.020
harris3D	0.060	0.060	0.020	0.087
harris3D	0.060	0.060	0.040	0.024
harris3D	0.060	0.060	0.060	0.024
harris3D	0.060	0.060	0.080	0.024
harris3D	0.060	0.060	0.100	0.024
harris3D	0.060	0.080	0.020	0.083
harris3D	0.060	0.080	0.040	0.146
harris3D	0.060	0.080	0.060	0.236
