KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
susan	0.060	0.020	0.020	0.033
susan	0.060	0.020	0.040	0.033
susan	0.060	0.020	0.060	0.033
susan	0.060	0.020	0.080	0.033
susan	0.060	0.020	0.100	0.033
susan	0.060	0.040	0.020	0.268
susan	0.060	0.040	0.040	0.033
susan	0.060	0.040	0.060	0.033
susan	0.060	0.040	0.080	0.034
susan	0.060	0.040	0.100	0.268
susan	0.060	0.060	0.020	0.415
susan	0.060	0.060	0.040	0.263
susan	0.060	0.060	0.060	0.268
susan	0.060	0.060	0.080	0.263
susan	0.060	0.060	0.100	0.288
susan	0.060	0.080	0.020	0.190
susan	0.060	0.080	0.040	0.033
susan	0.060	0.080	0.060	0.179
susan	0.060	0.080	0.080	0.176
susan	0.060	0.080	0.100	0.176
susan	0.060	0.100	0.020	0.335
susan	0.060	0.100	0.040	0.332
susan	0.060	0.100	0.060	0.332
susan	0.060	0.100	0.080	0.336
susan	0.060	0.100	0.100	0.332
susan	0.080	0.020	0.020	0.033
susan	0.080	0.020	0.040	0.033
susan	0.080	0.020	0.060	0.033
susan	0.080	0.020	0.080	0.033
susan	0.080	0.020	0.100	0.033
susan	0.080	0.040	0.020	0.268
susan	0.080	0.040	0.040	0.033
susan	0.080	0.040	0.060	0.033
susan	0.080	0.040	0.080	0.034
susan	0.080	0.040	0.100	0.268
susan	0.080	0.060	0.020	0.415
susan	0.080	0.060	0.040	0.263
susan	0.080	0.060	0.060	0.268
susan	0.080	0.060	0.080	0.263
susan	0.080	0.060	0.100	0.288
susan	0.080	0.080	0.020	0.190
susan	0.080	0.080	0.040	0.033
susan	0.080	0.080	0.060	0.179
susan	0.080	0.080	0.080	0.176
susan	0.080	0.080	0.100	0.176
susan	0.080	0.100	0.020	0.335
susan	0.080	0.100	0.040	0.332
susan	0.080	0.100	0.060	0.332
susan	0.080	0.100	0.080	0.336
susan	0.080	0.100	0.100	0.332
susan	0.100	0.020	0.020	0.033
susan	0.100	0.020	0.040	0.033
susan	0.100	0.020	0.060	0.033
susan	0.100	0.020	0.080	0.033
susan	0.100	0.020	0.100	0.033
susan	0.100	0.040	0.020	0.268
susan	0.100	0.040	0.040	0.033
susan	0.100	0.040	0.060	0.033
susan	0.100	0.040	0.080	0.034
susan	0.100	0.040	0.100	0.268
susan	0.100	0.060	0.020	0.415
susan	0.100	0.060	0.040	0.263
susan	0.100	0.060	0.060	0.268
susan	0.100	0.060	0.080	0.263
susan	0.100	0.060	0.100	0.288
susan	0.100	0.080	0.020	0.190
susan	0.100	0.080	0.040	0.033
susan	0.100	0.080	0.060	0.179
susan	0.100	0.080	0.080	0.176
susan	0.100	0.080	0.100	0.176
susan	0.100	0.100	0.020	0.335
susan	0.100	0.100	0.040	0.332
susan	0.100	0.100	0.060	0.332
susan	0.100	0.100	0.080	0.336
susan	0.100	0.100	0.100	0.332
harris3D	0.020	0.020	0.020	0.026
harris3D	0.020	0.020	0.040	0.026
harris3D	0.020	0.020	0.060	0.026
harris3D	0.020	0.020	0.080	0.026
harris3D	0.020	0.020	0.100	0.026
harris3D	0.020	0.040	0.020	0.026
harris3D	0.020	0.040	0.040	0.026
harris3D	0.020	0.040	0.060	0.026
harris3D	0.020	0.040	0.080	0.026
harris3D	0.020	0.040	0.100	0.026
harris3D	0.020	0.060	0.020	0.265
harris3D	0.020	0.060	0.040	0.324
harris3D	0.020	0.060	0.060	0.306
harris3D	0.020	0.060	0.080	0.265
harris3D	0.020	0.060	0.100	0.026
harris3D	0.020	0.080	0.020	0.294
harris3D	0.020	0.080	0.040	0.909
harris3D	0.020	0.080	0.060	0.185
harris3D	0.020	0.080	0.080	0.322
harris3D	0.020	0.080	0.100	0.909
harris3D	0.020	0.100	0.020	0.183
harris3D	0.020	0.100	0.040	0.183
harris3D	0.020	0.100	0.060	0.185
harris3D	0.020	0.100	0.080	0.183
harris3D	0.020	0.100	0.100	0.185
harris3D	0.040	0.020	0.020	0.026
harris3D	0.040	0.020	0.040	0.026
harris3D	0.040	0.020	0.060	0.026
harris3D	0.040	0.020	0.080	0.026
harris3D	0.040	0.020	0.100	0.026
harris3D	0.040	0.040	0.020	0.026
harris3D	0.040	0.040	0.040	0.026
harris3D	0.040	0.040	0.060	0.026
harris3D	0.040	0.040	0.080	0.026
harris3D	0.040	0.040	0.100	0.026
harris3D	0.040	0.060	0.020	0.265
harris3D	0.040	0.060	0.040	0.324
harris3D	0.040	0.060	0.060	0.306
harris3D	0.040	0.060	0.080	0.265
harris3D	0.040	0.060	0.100	0.026
harris3D	0.040	0.080	0.020	0.294
harris3D	0.040	0.080	0.040	0.909
harris3D	0.040	0.080	0.060	0.185
harris3D	0.040	0.080	0.080	0.322
harris3D	0.040	0.080	0.100	0.909
harris3D	0.040	0.100	0.020	0.183
harris3D	0.040	0.100	0.040	0.183
harris3D	0.040	0.100	0.060	0.185
harris3D	0.040	0.100	0.080	0.183
harris3D	0.040	0.100	0.100	0.185
harris3D	0.060	0.020	0.020	0.026
